Subject,BrainVolumes
IXI002-Guys-0828,1432521.43502533
IXI012-HH-1211,1683637.37820092
IXI013-HH-1212,1575955.21672256
IXI014-HH-1236,1374297.02707127
IXI015-HH-1258,1530655.26009877
IXI016-Guys-0697,1464772.43599944
IXI017-Guys-0698,1568932.93415415
IXI019-Guys-0702,1605517.76955696
IXI020-Guys-0700,1561561.35430037
IXI021-Guys-0703,1586576.55067043
IXI022-Guys-0701,1707082.61646993
IXI023-Guys-0699,1435619.34802954
IXI024-Guys-0705,1405182.6167431
IXI025-Guys-0852,1475400.14341021
IXI026-Guys-0696,1294924.17833301
IXI027-Guys-0710,1559461.46794342
IXI028-Guys-1038,1407093.59413254
IXI029-Guys-0829,1261738.30650731
IXI030-Guys-0708,1606296.34682339
IXI031-Guys-0797,1497059.08622285
IXI033-HH-1259,1576970.69255635
IXI034-HH-1260,1535677.42424825
IXI035-IOP-0873,1552964.47771845
IXI036-Guys-0736,1615722.45829289
IXI037-Guys-0704,1440032.01547434
IXI038-Guys-0729,1554571.90497904
IXI039-HH-1261,1714712.43364583
IXI040-Guys-0724,1260032.00897885
IXI041-Guys-0706,1691163.78166923
IXI042-Guys-0725,1360507.20822744
IXI043-Guys-0714,1407397.70896501
IXI044-Guys-0712,1374185.84802635
IXI045-Guys-0713,1529212.10846914
IXI046-Guys-0824,1367198.66733849
IXI048-HH-1326,1702427.13975732
IXI049-HH-1358,1669739.5200419
IXI050-Guys-0711,1532650.79342973
IXI051-HH-1328,1522293.64366592
IXI052-HH-1343,1644059.8484718
IXI053-Guys-0727,1619710.42181282
IXI054-Guys-0707,1331527.03025878
IXI055-Guys-0730,1457016.9859002
IXI056-HH-1327,1620629.05241438
IXI057-HH-1342,1572220.92343715
IXI058-Guys-0726,1814725.11589846
IXI059-HH-1284,1524488.32321961
IXI060-Guys-0709,1636922.38843575
IXI061-Guys-0715,1333595.53928153
IXI062-Guys-0740,1561131.81096903
IXI063-Guys-0742,1650294.2765239
IXI064-Guys-0743,1497530.79574275
IXI065-Guys-0744,1498792.27404055
IXI066-Guys-0731,1275310.82182392
IXI067-HH-1356,1748797.56439927
IXI068-Guys-0756,1366170.09111909
IXI069-Guys-0769,1188238.78551299
IXI070-Guys-0767,1452245.08832434
IXI071-Guys-0770,1247825.73469226
IXI072-HH-2324,1560372.55637285
IXI073-Guys-0755,1287066.73948399
IXI074-Guys-0771,1365444.43347333
IXI075-Guys-0754,1204323.11689507
IXI076-Guys-0753,1384525.93866153
IXI077-Guys-0752,1271991.67830528
IXI078-Guys-0751,1563460.30259808
IXI079-HH-1388,1245205.94131001
