Subject,BrainVolumes
IXI002-Guys-0828,1437861.30425781
IXI012-HH-1211,1697960.07628207
IXI013-HH-1212,1634413.3424569
IXI014-HH-1236,1411626.64163798
IXI015-HH-1258,1599449.54891506
IXI016-Guys-0697,1486728.89306606
IXI017-Guys-0698,1603436.02407941
IXI019-Guys-0702,1649976.14901029
IXI020-Guys-0700,1582742.67921797
IXI021-Guys-0703,1627826.31333518
IXI022-Guys-0701,1775971.52165164
IXI023-Guys-0699,1466592.32913461
IXI024-Guys-0705,1440434.47311267
IXI025-Guys-0852,1521262.00791121
IXI026-Guys-0696,1321435.96515939
IXI027-Guys-0710,1616706.64470525
IXI028-Guys-1038,1471079.38428152
IXI029-Guys-0829,1297251.65016402
IXI030-Guys-0708,1646876.66045442
IXI031-Guys-0797,1521140.72859047
IXI033-HH-1259,1616577.42103252
IXI034-HH-1260,1518554.63494244
IXI035-IOP-0873,1555839.58590139
IXI036-Guys-0736,1634891.44435663
IXI037-Guys-0704,1489300.60394869
IXI038-Guys-0729,1605380.4024335
IXI039-HH-1261,1769519.24998288
IXI040-Guys-0724,1303454.58496611
IXI041-Guys-0706,1712643.5045324
IXI042-Guys-0725,1379495.79299842
IXI043-Guys-0714,1433998.05279866
IXI044-Guys-0712,1404568.22540606
IXI045-Guys-0713,1553946.61632703
IXI046-Guys-0824,1398611.54973954
IXI048-HH-1326,1708336.54701007
IXI049-HH-1358,1707067.00669255
IXI050-Guys-0711,1585722.66885148
IXI051-HH-1328,1532558.88793819
IXI052-HH-1343,1664616.77968833
IXI053-Guys-0727,1687053.16098484
IXI054-Guys-0707,1360948.613452
IXI055-Guys-0730,1454711.44076587
IXI056-HH-1327,1658825.65058257
IXI057-HH-1342,1600914.68144045
IXI058-Guys-0726,1869463.43717037
IXI059-HH-1284,1576138.54309379
IXI060-Guys-0709,1670841.15878768
IXI061-Guys-0715,1381504.64853067
IXI062-Guys-0740,1596671.54928197
IXI063-Guys-0742,1692644.26503913
IXI064-Guys-0743,1539342.82848805
IXI065-Guys-0744,1525237.49202246
IXI066-Guys-0731,1353753.43778941
IXI067-HH-1356,1791393.36133084
IXI068-Guys-0756,1406838.89267047
IXI069-Guys-0769,1226460.74207258
IXI070-Guys-0767,1480798.63245991
IXI071-Guys-0770,1289613.56674529
IXI072-HH-2324,1647565.99666451
IXI073-Guys-0755,1318979.49858691
IXI074-Guys-0771,1397003.81367626
IXI075-Guys-0754,1238911.49449917
IXI076-Guys-0753,1469279.42329053
IXI077-Guys-0752,1318971.4272184
IXI078-Guys-0751,1596270.7086283
IXI079-HH-1388,1295790.67926414
IXI080-HH-1341,1357537.36606913
IXI081-Guys-0855,1280764.1993275
IXI083-HH-1357,1638523.88054479
IXI084-Guys-0741,1387367.18291772
IXI085-Guys-0759,1482972.20091506
IXI086-Guys-0728,1597879.37442434
IXI087-Guys-0768,1517496.54828712
IXI088-Guys-0758,1469548.58813716
IXI089-Guys-0757,1558013.37382465
IXI090-Guys-0800,1524767.20986385
IXI091-Guys-0762,1671813.04945429
IXI092-HH-1436,1643173.79691778
IXI093-HH-1359,1622712.96940773
IXI094-HH-1355,1530058.68697464
IXI095-HH-1390,1482702.18393331
IXI096-HH-1391,1716013.18307529
IXI097-HH-1619,1524091.14431986
IXI098-Guys-0745,1548266.85179976
IXI099-Guys-0748,1754773.8366668
IXI100-Guys-0747,1584926.95202267
IXI101-Guys-0749,1733592.46861406
IXI102-HH-1416,1515555.11459839
IXI103-Guys-0750,1624255.43436079
IXI104-HH-1450,1352647.18500094
IXI105-HH-1471,1544919.82958891
IXI106-Guys-0760,1796668.56653136
IXI107-Guys-0761,1332982.95025936
IXI108-Guys-0865,1668857.70990397
IXI109-Guys-0732,1398063.36516052
IXI110-Guys-0733,1471351.3558769
IXI111-Guys-0734,1598682.0845163
IXI112-Guys-0735,1558036.04629154
IXI113-Guys-0776,1331268.52980009
IXI114-Guys-0737,1278831.20101192
IXI115-Guys-0738,1497698.1968356
IXI116-Guys-0739,1492156.64396483
IXI117-Guys-0763,1423657.92431479
IXI118-Guys-0764,1361015.74093749
IXI119-Guys-0765,1270126.58275358
IXI120-Guys-0766,1325677.69579074
IXI121-Guys-0772,1564320.82336714
IXI122-Guys-0773,1500410.2864395
IXI123-Guys-0774,1319280.05854551
IXI126-HH-1437,1687896.70499124
IXI127-HH-1451,1493913.99713602
IXI128-HH-1470,1496118.11489153
IXI129-Guys-0775,1786936.14904455
IXI130-HH-1528,1616519.11372435
IXI131-HH-1527,1645470.91632877
IXI132-HH-1415,1484170.36001722
IXI134-Guys-0780,1610217.01518027
IXI135-Guys-0779,1477148.07922298
IXI136-HH-1452,1697495.12935686
IXI137-HH-1472,1534640.55521615
IXI138-Guys-0746,1581990.39938747
IXI139-Guys-0815,1583241.87215636
IXI140-Guys-0787,1413506.88753798
IXI141-Guys-0789,1385756.29940196
IXI142-Guys-0786,1381381.92625016
IXI143-Guys-0785,1316614.17896517
IXI144-Guys-0788,1391933.51010821
IXI145-Guys-0781,1662979.05227451
IXI146-HH-1389,1607717.7156948
IXI148-HH-1453,1630046.05058664
IXI150-HH-1550,1261257.662144
