Subject,BrainVolumes
KKI2009-01,1516981.26027942
KKI2009-02,1278427.25080013
KKI2009-03,1351491.65370345
KKI2009-04,1280456.45088077
KKI2009-05,1422884.45654035
KKI2009-06,1540208.46120238
KKI2009-07,1507147.25988865
KKI2009-08,1408224.05595779
KKI2009-10,1321863.65252614
KKI2009-11,1294813.25145125
KKI2009-12,1354525.253824
KKI2009-13,1539307.26116657
KKI2009-14,1483764.05895948
KKI2009-15,1534423.2609725
KKI2009-16,1311817.25212693
KKI2009-17,1488501.65914774
KKI2009-18,1542499.26129341
KKI2009-19,1349690.45363188
KKI2009-20,1553098.8617146
KKI2009-21,1308301.25198722
KKI2009-22,1335817.25308061
KKI2009-23,1045826.44155741
KKI2009-24,1528402.86073327
KKI2009-25,1509123.65996718
KKI2009-26,1518247.26032972
KKI2009-27,1043145.64145088
KKI2009-28,1576899.66266036
KKI2009-29,1378384.85477209
KKI2009-30,1333134.05297399
KKI2009-31,1388631.65517926
KKI2009-32,1459954.85801339
KKI2009-33,1335015.65304875
KKI2009-34,1514462.46017933
KKI2009-35,1301913.6517334
KKI2009-36,1457955.65793395
KKI2009-37,1274340.05063772
KKI2009-38,1513814.46015358
KKI2009-39,1469120.4583776
KKI2009-40,1580625.66280842
KKI2009-41,1473031.258533
KKI2009-42,1510761.66003227
