Subject,BrainVolumes
KKI2009-01,1517706.06030822
KKI2009-02,1294698.05144668
KKI2009-03,1354431.65382028
KKI2009-04,1346548.85350704
KKI2009-05,1420861.25645995
KKI2009-06,1605004.86377716
KKI2009-07,1545056.46139503
KKI2009-08,1430216.45683169
KKI2009-10,1315759.25228357
KKI2009-11,1362685.25414824
KKI2009-12,1360911.65407777
KKI2009-13,1534788.060987
KKI2009-14,1503183.65973115
KKI2009-15,1507420.85989952
KKI2009-16,1317568.85235548
KKI2009-17,1506596.45986676
KKI2009-18,1555634.46181536
KKI2009-19,1353561.65378571
KKI2009-20,1604036.46373868
KKI2009-21,1305614.45188046
KKI2009-22,1333184.45297599
KKI2009-23,1050166.84172988
KKI2009-24,1534383.66097093
KKI2009-25,1517032.86028147
KKI2009-26,1484487.65898824
KKI2009-27,1044520.84150553
KKI2009-28,1541041.26123548
KKI2009-29,1427823.65673661
KKI2009-30,1346971.25352383
KKI2009-31,1404813.65582228
KKI2009-32,1496200.85945368
KKI2009-33,1347158.45353127
KKI2009-34,1544623.26137781
KKI2009-35,1314440.45223117
KKI2009-36,1500954.05964255
KKI2009-37,1300218.05166602
KKI2009-38,1532668.86090279
KKI2009-39,1488828.05916071
KKI2009-40,1548040.86151361
KKI2009-41,1499400.0595808
KKI2009-42,1489472.45918632
