Subject,BrainVolumes
1013090,1316484
1034049,1648327
1097782,1385583
1103722,1382286
1125244,1454441
1143655,1449223
1150497,1295906
1192435,1467587
1264721,1463207
1271401,1684158
1285465,1377583
1288657,1599410
1292527,1457013
1309257,1221579
1322220,1442310
1334556,1501911
1334913,1503858
1339484,1304215
1351931,1380131
1366839,1372947
1382333,1442530
1427581,1331117
1476437,1745822
1494230,1293909
1508861,1424278
1522653,1556504
1523112,1376754
1525492,1357879
1534265,1209603
1591238,1491675
1601547,1412192
1616468,1385399
1654606,1335071
1709141,1760990
1713513,1452113
1734822,1453229
1742775,1514252
1753435,1321824.92121309
1757866,1382445
1764982,1280871
1781836,1548429
1834799,1429629
1875434,1321176
1898228,1627074
1903493,1214672
1915832,1877757
1931386,1378255
1935851,1285575
1940084,1422390
1943306,1592514
1961098,1366097
2005303,1632822
2021454,1326728
2041109,1348244
2071045,1810173
2113846,1573433
2132437,1319069
2139745,1426351
2160826,1508708
2166659,1574580.81229532
2176073,1528821
2221971,1613455
2248813,1599653
2258252,1197515
2286053,1446068
2286816,1410047
2328270,1501424
2357976,1320713
2362594,1324793
2403029,1321947
2436415,1414129
2457957,1285605
2465771,1280533
2475376,1453126
2483617,1532946
2505567,1615750
2513310,1485874
2524225,1542553
2531270,1852473
2541244,1381366
2631208,1433971
2652676,1458432
2674565,1351484
2675807,1547819
2678751,1439550
2731081,1439077.91422427
2784584,1625831
2788776,1305650
2842950,1276897
2861923,1431722
2864064,1459249
2868630,1485257
2882334,1508702
2915821,1578802
2970212,1325767
2986140,1443073
3033715,1353989
3070385,1461917.9128629
3081896,1481365
3094481,1619705
3106263,1732510
3166395,1333062
3209959,1362556
3261820,1461990
3304648,1447907
3328556,1621659
3329569,1410141
3346545,1287211
3362208,1520934
3366302,1336384
3374719,1430734
3409284,1491640
3431295,1374778
3431940,1351021
3466763,1356320
3486362,1478385
3492484,1356319
3566919,1621688
3594255,1726314
3606220,1255215
3611212,1525715
3695138,1610389
3701005,1273595
3729976,1482959
3755111,1439805
3773269,1620620
3795193,1684221
3808535,1471546
3811036,1417813
3815065,1687531
3827479,1532839
3848143,1485199
3875444,1596754
3893245,1708623
3895064,1265790.84910596
3911767,1446137
3927656,1303468
3934325,1432431
3951328,1581064
3965194,1780834
3989122,1337753
4006955,1319053
4015919,1469621
4026825,1201108
4077433,1500617
4087509,1307104
4089896,1499753
4097119,1498903
4100790,1544907
4119751,1633458
4143704,1641694
4154799,1557047
4176156,1347155
4188346,1247644
4230470,1470274
4277600,1508710
4290056,1405094
4323037,1265682
4417007,1407390
4487215,1309868
4710111,1445005
4791943,1398664
5108043,1280268
5161117,1581427
5205221,1556094.81449903
5279162,1319550
5461463,1273500
5844518,1387393.83460975
6471972,1669056
6539040,1552591
6692978,1584152
6913939,1417403
7055197,1384977
7212617,1558856
8317157,1600557
8574662,1439531
8628499,1587765
8691891,1340075.8402505
9100911,1416659
9421819,1512351
9536886,1109159
9537916,1361502
9630905,1452832
9645370,1252871
9716792,1454006
9780496,1541058
