Subject,BrainVolumes
1013090,1390590
1034049,1665857
1097782,1461167
1103722,1471003
1125244,1498220
1143655,1508956
1150497,1366138
1192435,1527864
1264721,1514412
1271401,1699810
1285465,1415891
1288657,1659364
1292527,1492498
1309257,1308884
1322220,1503474
1334556,1558171
1334913,1508079
1339484,1400409
1351931,1440024
1366839,1436912
1382333,1495697
1427581,1378165
1476437,1791574
1494230,1352629
1508861,1462437
1522653,1645809
1523112,1427694
1525492,1414685
1534265,1280578
1591238,1536552
1601547,1447757
1616468,1457128
1654606,1399970
1709141,1816727
1713513,1532949
1734822,1499033
1742775,1555041
1753435,1388912.91721433
1757866,1462143
1764982,1352890
1781836,1618702
1834799,1510957
1875434,1362561
1898228,1648074
1903493,1291278
1915832,1948685
1931386,1432478
1935851,1329502
1940084,1515473
1943306,1656827
1961098,1414491
2005303,1668152
2021454,1386424
2041109,1397944
2071045,1852323
2113846,1636775
2132437,1379965
2139745,1487956
2160826,1575515
2166659,1635348.80505121
2176073,1595536
2221971,1676554
2248813,1656527
2258252,1262788
2286053,1507915
2286816,1464829
2328270,1578743
2357976,1381315
2362594,1420961
2403029,1365536
2436415,1486567
2457957,1347569
2465771,1325526
2475376,1514008
2483617,1554872
2505567,1662152
2513310,1552718
2524225,1607393
2531270,1897289
2541244,1433167
2631208,1503302
2652676,1528549
2674565,1348102
2675807,1612197
2678751,1447000
2731081,1506410.91021091
2784584,1669484
2788776,1363828
2842950,1336738
2861923,1477326
2864064,1510291
2868630,1521339
2882334,1551727
2915821,1570679
2970212,1355207
2986140,1516204
3033715,1370166
3070385,1517487.90955067
3081896,1535662
3094481,1671818
3106263,1765320
3166395,1403304
3209959,1408136
3261820,1525327
3304648,1507451
3328556,1685943
3329569,1481790
3346545,1365181
3362208,1567384
3366302,1403162
3374719,1461789
3409284,1557604
3431295,1426171
3431940,1395957
3466763,1408688
3486362,1530580
3492484,1387896
3566919,1598174
3594255,1819209
3606220,1311438
3611212,1568233
3695138,1668095
3701005,1336214
3729976,1543085
3755111,1508948
3773269,1696597
3795193,1761715
3808535,1536227
3811036,1463228
3815065,1726465
3827479,1587395
3848143,1491432
3875444,1632685
3893245,1776267
3895064,1332943.8411007
3911767,1517827
3927656,1363060
3934325,1478919
3951328,1641843
3965194,1812007
3989122,1275474
4006955,1365560
4015919,1510190
4026825,1263191
4077433,1557588
4087509,1401614
4089896,1549833
4097119,1571832
4100790,1619660
4119751,1671248
4143704,1696856
4154799,1613566
4176156,1408756
4188346,1307864
4230470,1555025
4277600,1578996
4290056,1437758
4323037,1320911
4417007,1463123
4487215,1372763
4710111,1500383
4791943,1466653
5108043,1366778
5161117,1636810
5205221,1623559.80645657
5279162,1391856
5461463,1338044
5844518,1369421.83675218
6471972,1740328
6539040,1643595
6692978,1661573
6913939,1485992
7055197,1431036
7212617,1637442
8317157,1636755
8574662,1503192
8628499,1678668
8691891,1401607.83291531
9100911,1461333
9421819,1512290
9536886,1184965
9537916,1421785
9630905,1524701
9645370,1268650
9716792,1501346
9780496,1592678
