Subject,BrainVolumes
sub-0001,1595894
sub-0002,1382064
sub-0003,1482678
sub-0004,1585867
sub-0005,1509403
sub-0006,1417974.05634522
sub-0007,1608101
sub-0008,1434121
sub-0009,1450561
sub-0010,1805003
sub-0011,1369211
sub-0012,1530972
sub-0013,1458487
sub-0014,1545246
sub-0015,1498961
sub-0016,1361541
sub-0017,1563895
sub-0018,1294214
sub-0019,1423118
sub-0020,1391106
sub-0021,1565764
sub-0022,1273741
sub-0023,1564770
sub-0024,1418947
sub-0025,1310412
sub-0026,1540278
sub-0027,1582983
sub-0028,1390397
sub-0029,1416403
sub-0030,1342867
sub-0031,1455325
sub-0032,1326395
sub-0033,1474296
sub-0034,1715984
sub-0035,1511543
sub-0036,1340962
sub-0037,1444055
sub-0038,1474019
sub-0039,1595203
sub-0040,1557627
sub-0041,1538666
sub-0042,1586876
sub-0043,1567017
sub-0044,1497840
sub-0045,1429763
sub-0046,1513607
sub-0047,1592912
sub-0048,1485557
sub-0049,1226407
sub-0050,1381689
sub-0051,1489300
sub-0052,1724193
sub-0053,1624493
sub-0054,1372528
sub-0055,1714620
sub-0056,1532145
sub-0057,1537788
sub-0058,1580018
sub-0059,1502034
sub-0060,1621286
sub-0061,1598993
sub-0062,1369288
sub-0063,1414056
sub-0064,1480160
sub-0065,1621168
sub-0066,1686710
sub-0067,1474431
sub-0068,1520633
sub-0069,1598829
sub-0070,1494841
sub-0071,1499667
sub-0072,1487018
sub-0073,1377508
sub-0074,1243545
sub-0075,1441980
sub-0076,1435856
sub-0077,1483985
sub-0078,1349524
sub-0079,1524466
sub-0080,1646044
sub-0081,1583565
sub-0082,1492871
sub-0083,1484422
sub-0084,1402288
sub-0085,1335805
sub-0086,1578541
sub-0087,1460016
sub-0088,1260175
sub-0089,1474922
sub-0090,1412953
sub-0091,1287339
sub-0092,1524821
sub-0093,1550307
sub-0094,1597180
sub-0095,1602357
sub-0096,1537160
sub-0097,1674014
sub-0098,1549481
sub-0099,1733423
sub-0100,1248515
sub-0101,1445059
sub-0102,1537924
sub-0103,1545544
sub-0104,1389096
sub-0105,1520332
sub-0106,1558762
sub-0107,1472885
sub-0108,1483266
sub-0109,1418233
sub-0110,1323745
sub-0111,1469519
sub-0112,1348117
