Subject,Left_aLEC.Volume,Left_aLEC.SurfaceArea,Right_aLEC.Volume,Right_aLEC.SurfaceArea,Left_pMEC.Volume,Left_pMEC.SurfaceArea,Right_pMEC.Volume,Right_pMEC.SurfaceArea,Left_Perirhinal.Volume,Left_Perirhinal.SurfaceArea,Right_Perirhinal.Volume,Right_Perirhinal.SurfaceArea,Left_Parahippocampal.Volume,Left_Parahippocampal.SurfaceArea,Right_Parahippocampal.Volume,Right_Parahippocampal.SurfaceArea,Left_DG_CA3.Volume,Left_DG_CA3.SurfaceArea,Right_DG_CA3.Volume,Right_DG_CA3.SurfaceArea,Left_CA1.Volume,Left_CA1.SurfaceArea,Right_CA1.Volume,Right_CA1.SurfaceArea,Left_Subiculum.Volume,Left_Subiculum.SurfaceArea,Right_Subiculum.Volume,Right_Subiculum.SurfaceArea
sub-0001,658,599.812,599,535.385,347,418.404,389,397.026,2113,1129.98,2783,1448.19,3719,2035.35,3440,1852.11,832,806.377,762,793.67,2084,1757.97,1997,1696.94,796,861.944,891,890.612
sub-0002,715,610.13,598,559.996,314,386.22,375,375.062,1709,1023.2,1932,1143.81,3026,1743.89,3170,1684.74,646,659.131,682,677.881,1657,1481.21,1838,1524.27,718,795.701,824,810.273
sub-0003,748,632.474,832,697.136,383,395.76,475,424.886,1485,945.002,1743,979.363,2743,1580.04,2964,1671.07,630,631.052,815,790.411,1866,1565.72,1897,1685.62,1088,975.829,1156,1031.58
sub-0004,717,619.487,768,683.29,332,376.642,531,509.47,960,717.773,2225,1409.78,4098,2017.3,3926,1949.06,706,720.64,715,706.712,1986,1719.1,1923,1605.17,1008,946.51,994,833.427
sub-0005,752,632.257,721,612.205,306,327.732,377,371.47,2001,1087.28,2316,1259.78,3079,1708.69,3468,1784.01,779,765.704,786,762.005,2149,1795.22,1970,1673.36,826,839.461,1034,926.382
sub-0006,649.2,589.679,642,564.202,324,342.438,474,443.539,1995.6,1086.13,1530,1010.17,3112.8,1649.71,2782.8,1541.36,714,698.051,775.2,723.877,1911.6,1629.19,1858.8,1596.97,831.6,821.875,1023.6,914.274
sub-0007,868,740.449,657,522.338,298,345.002,379,393.375,1171,966.453,1424,909.273,3207,1749.29,2917,1728.02,670,677.008,955,811.505,2048,1683.56,2076,1690.93,1041,1004.32,928,868.89
sub-0008,797,604.269,660,568.294,350,353.619,437,411.725,1622,906.869,1281,867.079,2450,1439.72,2633,1514.07,758,781.438,843,779.48,1802,1599.75,1855,1579.5,706,766.209,839,826.261
sub-0009,551,536.295,686,569.623,204,327.277,430,431.893,2350,1277.84,1890,1141.79,2969,1629.71,2992,1732.67,545,587.317,716,695.434,1869,1563.45,1782,1586.68,903,853.802,856,822.687
sub-0010,792,695.229,684,606.896,336,379.039,443,436.959,2216,1162.95,2499,1259.71,2683,1569.37,3429,1739.57,900,821.175,988,830.992,2047,1815.1,2296,1803.5,985,950.111,883,874.512
sub-0011,522,467.452,541,481.147,357,379.88,417,397.117,2112,1042.91,1902,1035.22,3120,1649.34,2565,1437.2,652,646.979,853,779.171,1693,1490.03,1815,1566.92,763,748.84,802,748.611
sub-0012,724,647.877,620,529.513,259,303.511,368,364.242,2510,1430.92,1886,1081.82,3117,1754,3279,1793.42,620,626.766,984,861.984,2033,1614.08,2269,1786.7,1096,934.144,1119,953.463
sub-0013,625,562.926,644,549.185,327,352.364,370,392.562,1625,921.937,1849,1051.32,2600,1707.08,3055,1676.8,513,601.908,647,661.099,1583,1416.76,1683,1453.28,837,866.555,841,811.821
sub-0014,715,606.839,726,600.465,350,394.244,437,452.403,2101,1111.67,1897,1056.39,3083,1704.47,2842,1647.61,543,551.323,724,681.206,1638,1375.22,1887,1594.91,805,771.358,874,795.808
sub-0015,725,615.814,799,641.756,345,352.771,420,401.937,2064,1118.45,2065,1081.18,2771,1536.64,2901,1635.22,698,738.279,894,809.185,1935,1642.93,1831,1571.67,1116,1011.65,1034,914.121
sub-0016,758,630.428,503,506.178,349,379.289,477,444.192,2301,1174.74,1973,1085.26,3470,1845.1,2758,1529.04,657,644.678,730,669.633,1846,1562.71,1727,1483.73,822,795.787,733,733.986
sub-0017,704,623.155,543,468.726,323,311.639,329,358.763,2247,1229.85,2479,1241.05,3737,1864.54,3038,1728.7,764,729.948,874,801.55,2222,1711.6,1823,1597.8,994,895.266,926,821.823
sub-0018,562,499.187,480,455.049,381,384.284,474,466.688,1053,736.32,1384,856.346,2710,1504.13,2399,1408.23,610,634.216,794,743.553,1767,1563.32,1845,1582.03,915,886.013,863,823.99
sub-0019,721,642.601,586,511.748,298,328.958,294,341.814,1733,1024.2,1178,850.188,3335,1793.5,2773,1563.49,926,807.766,777,753.867,2214,1757.35,2150,1772.81,919,906.88,967,896.875
