"DataSet","Pipeline","RMSE"
"SRPB","ANTs",9.2455368601764
"SRPB","ANTsXNet",8.45168133312894
"SRPB","ANTs",9.32897055054798
"SRPB","ANTsXNet",8.50887939449919
"SRPB","ANTs",9.09794414138811
"SRPB","ANTsXNet",8.6093273196096
"SRPB","ANTs",8.76173268403311
"SRPB","ANTsXNet",8.36857294838047
"SRPB","ANTs",9.81639577706536
"SRPB","ANTsXNet",8.74048700745726
"SRPB","ANTs",9.33165661823221
"SRPB","ANTsXNet",8.62512882670658
"SRPB","ANTs",9.25865919848242
"SRPB","ANTsXNet",8.37568271574177
"SRPB","ANTs",9.47495342297671
"SRPB","ANTsXNet",8.6942888541094
"SRPB","ANTs",8.93267153439344
"SRPB","ANTsXNet",8.11761509543281
"SRPB","ANTs",9.06557145638551
"SRPB","ANTsXNet",8.12164544559379
"SRPB","ANTs",9.44930459686222
"SRPB","ANTsXNet",8.75526492573201
"SRPB","ANTs",9.12060660454471
"SRPB","ANTsXNet",8.28307184907146
"SRPB","ANTs",9.09216413930997
"SRPB","ANTsXNet",7.88048662565264
"SRPB","ANTs",9.21933041805884
"SRPB","ANTsXNet",8.26714557089753
"SRPB","ANTs",9.44177130283864
"SRPB","ANTsXNet",8.01280262954915
"SRPB","ANTs",9.70535499193686
"SRPB","ANTsXNet",9.13765338017546
"SRPB","ANTs",8.82833812210975
"SRPB","ANTsXNet",8.50183190774881
"SRPB","ANTs",9.84987757279331
"SRPB","ANTsXNet",8.69147722644722
"SRPB","ANTs",9.15104646391966
"SRPB","ANTsXNet",8.4155562951168
"SRPB","ANTs",10.0240825649888
"SRPB","ANTsXNet",8.69522596147764
"SRPB","ANTs",8.72294004236614
"SRPB","ANTsXNet",8.26869295376121
"SRPB","ANTs",9.03196777281742
"SRPB","ANTsXNet",8.50558527841631
"SRPB","ANTs",9.2346105568502
"SRPB","ANTsXNet",8.07275133252839
"SRPB","ANTs",9.58124100977231
"SRPB","ANTsXNet",8.75673429599226
"SRPB","ANTs",9.84458006670424
"SRPB","ANTsXNet",8.48327930450932
"SRPB","ANTs",9.55993132278639
"SRPB","ANTsXNet",8.73262545019828
"SRPB","ANTs",9.36157279451003
"SRPB","ANTsXNet",8.58671431496782
"SRPB","ANTs",9.48369984421606
"SRPB","ANTsXNet",8.41861896406343
"SRPB","ANTs",10.1793842280388
"SRPB","ANTsXNet",9.07447648671192
"SRPB","ANTs",9.0210183899465
"SRPB","ANTsXNet",8.39191499649551
"SRPB","ANTs",9.4129841766402
"SRPB","ANTsXNet",8.50825997306047
"SRPB","ANTs",9.69601571926742
"SRPB","ANTsXNet",8.75607385615387
"SRPB","ANTs",9.33198639734466
"SRPB","ANTsXNet",8.6701333594036
"SRPB","ANTs",10.2108753471507
"SRPB","ANTsXNet",8.61116415451853
"SRPB","ANTs",9.49387336229404
"SRPB","ANTsXNet",8.56546875566328
"SRPB","ANTs",9.22777342716155
"SRPB","ANTsXNet",8.62014481813093
"SRPB","ANTs",9.41280028961666
"SRPB","ANTsXNet",8.08451108451005
"SRPB","ANTs",8.74428553433305
"SRPB","ANTsXNet",7.97735187077357
"SRPB","ANTs",9.6169835329122
"SRPB","ANTsXNet",9.02690934556652
"SRPB","ANTs",8.64423029799704
"SRPB","ANTsXNet",8.07035758652188
"SRPB","ANTs",9.86765396428831
"SRPB","ANTsXNet",8.62054532593747
"SRPB","ANTs",9.895953409675
"SRPB","ANTsXNet",8.81594180704812
"SRPB","ANTs",9.72447827317636
"SRPB","ANTsXNet",8.93210418180904
"SRPB","ANTs",9.04594811992473
"SRPB","ANTsXNet",8.22650651975613
"SRPB","ANTs",9.86472551114625
"SRPB","ANTsXNet",8.79701033290755
"SRPB","ANTs",9.25933113513443
"SRPB","ANTsXNet",8.68856563952175
"SRPB","ANTs",9.26133715252518
"SRPB","ANTsXNet",8.15560826796683
"SRPB","ANTs",8.92228093147404
"SRPB","ANTsXNet",8.38688370595015
"SRPB","ANTs",8.88699700790249
"SRPB","ANTsXNet",7.95795313519764
"SRPB","ANTs",9.18609968693168
"SRPB","ANTsXNet",8.44227161071819
"SRPB","ANTs",8.92423334179991
"SRPB","ANTsXNet",8.2161143329511
"SRPB","ANTs",9.88802531701022
"SRPB","ANTsXNet",8.64477939075531
"SRPB","ANTs",9.68706799489378
"SRPB","ANTsXNet",8.48078447301894
"SRPB","ANTs",8.88331195075208
"SRPB","ANTsXNet",8.14424385427947
"SRPB","ANTs",9.40292152531961
"SRPB","ANTsXNet",8.21261302372049
"SRPB","ANTs",9.02165750131129
"SRPB","ANTsXNet",8.5076238310118
"SRPB","ANTs",9.36774685208199
"SRPB","ANTsXNet",8.63024108422053
"SRPB","ANTs",9.35304686662534
"SRPB","ANTsXNet",8.2432429579621
"SRPB","ANTs",9.16160900099737
"SRPB","ANTsXNet",8.25035835840972
"SRPB","ANTs",9.26894834512658
"SRPB","ANTsXNet",8.54063593309134
"SRPB","ANTs",8.72732580750271
"SRPB","ANTsXNet",8.32336200388852
"SRPB","ANTs",9.63127753448399
"SRPB","ANTsXNet",8.44768710876728
"SRPB","ANTs",9.24253016356711
"SRPB","ANTsXNet",8.2040093716699
"SRPB","ANTs",9.53062683087803
"SRPB","ANTsXNet",8.44389802272377
"SRPB","ANTs",9.46431723129821
"SRPB","ANTsXNet",8.48491397633258
"SRPB","ANTs",9.31113366467543
"SRPB","ANTsXNet",8.33171697707199
"SRPB","ANTs",9.45883377561633
"SRPB","ANTsXNet",8.61036692506759
"SRPB","ANTs",9.04731355956682
"SRPB","ANTsXNet",8.53724029209664
"SRPB","ANTs",8.79715143609348
"SRPB","ANTsXNet",8.17976764412735
"SRPB","ANTs",8.96024784856513
"SRPB","ANTsXNet",8.09745897195476
"SRPB","ANTs",10.4968743840713
"SRPB","ANTsXNet",8.93954348212296
"SRPB","ANTs",8.59980773742616
"SRPB","ANTsXNet",8.29977841425783
"SRPB","ANTs",9.22805544375666
"SRPB","ANTsXNet",8.43750608100426
"SRPB","ANTs",9.48620659326929
"SRPB","ANTsXNet",8.34321160572805
"SRPB","ANTs",9.0512408645264
"SRPB","ANTsXNet",8.42968814965748
"SRPB","ANTs",9.62658825939312
"SRPB","ANTsXNet",8.64968189720025
"SRPB","ANTs",9.28922196703554
"SRPB","ANTsXNet",8.67539273813837
"SRPB","ANTs",8.74963460242264
"SRPB","ANTsXNet",8.32360041842884
"SRPB","ANTs",9.29675789646716
"SRPB","ANTsXNet",8.53726360657559
"SRPB","ANTs",9.55909295656089
"SRPB","ANTsXNet",8.85399088029689
"SRPB","ANTs",8.97077036315519
"SRPB","ANTsXNet",8.38359797230826
"SRPB","ANTs",8.65326220798788
"SRPB","ANTsXNet",8.63641827089158
"SRPB","ANTs",9.56654046014481
